sh600209 罗顿发展   0.41 9.71 
sh600210 紫江企业   0.39 5.11 
sh600211 西藏药业   3.68 35.52 
sh600212 江泉实业   -0.74 9.43 
sh600213 亚星客车   2.74 14.61 
sh600215 长春经开   2.37 5.61 
sh600216 浙江医药   0.93 10.83 
sh600217 秦岭水泥   2.02 8.58 
sh600218 全柴动力   1.71 11.27 
sh600219 南山铝业   3.25 8.9 
sh600220 江苏阳光   1.26 4.02 
sh600221 海南航空   3.37 3.37 
sh600222 太龙药业   1.58 7.07 
sh600223 鲁商置业   -2.32 7.17 
sh600225 天津松江   2.46 7.5 
sh600226 升华拜克   -0.12 8.68 
sh600227 赤天化    10.08 4.15 
sh600228 *ST昌九  0.92 10.94 
sh600229 青岛碱业   -0.22 9.18 
sh600230 沧州大化   0.26 11.57 
sh600232 金鹰股份   1.15 6.15 
sh600233 大杨创世   0.8 11.39 
sh600235 民丰特纸   0.0 6.7 
sh600237 铜峰电子   2.18 6.55 
sh600239 云南城投   4.44 6.59 
sh600242 中昌海运   1.29 7.83 
sh600243 青海华鼎   2.35 7.85 
sh600246 万通地产   1.8 4.53 
sh600247 *ST成城  0.34 5.99 
sh600248 延长化建   2.06 8.9 
sh600249 两面针    1.54 7.27 
sh600251 冠农股份   1.1 19.37 
sh600252 中恒集团   0.74 16.42 
sh600255 鑫科材料   0.0 5.13 
sh600256 广汇能源   1.34 8.31 
sh600257 大湖股份   0.4 7.46 
sh600258 首旅酒店   1.73 16.49 
sh600259 广晟有色   0.25 55.3 
sh600260 凯乐科技   3.45 9.0 
sh600261 阳光照明   0.23 8.72 
sh600262 北方股份   1.81 20.82 
sh600265 ST景谷   1.94 10.0 
sh600266 北京城建   3.05 22.62 
sh600267 海正药业   0.42 16.88 
sh600268 国电南自   1.3 7.02 
sh600269 赣粤高速   2.25 5.0 
sh600270 外运发展   2.17 16.51 
sh600271 航天信息   0.52 30.8 
sh600272 开开实业   3.96 14.19 
sh600275 武昌鱼    -0.5 5.92 
sh600276 恒瑞医药   0.44 36.67 
sh600277 亿利能源   -1.4 9.84 
sh600278 东方创业   3.63 12.56 
sh600279 重庆港九   1.48 13.02 
sh600280 中央商场   3.51 13.57 
sh600281 太化股份   4.53 6.23 
sh600283 钱江水利   0.85 13.03 
sh600284 浦东建设   2.06 11.39 
sh600285 羚锐制药   0.24 8.37 
sh600287 江苏舜天   9.96 12.47 
sh600289 亿阳信通   0.98 10.3 
sh600290 华仪电气   1.71 10.1 
sh600291 西水股份   3.59 17.61 
sh600292 中电远达   1.99 23.05 
sh600293 三峡新材   1.08 6.53 
sh600295 鄂尔多斯   1.35 8.99 
sh600297 美罗药业   0.68 11.85 
sh600298 安琪酵母   0.7 18.63 
sh600299 *ST新材  0.77 9.13 
sh600300 维维股份   0.58 5.21 
sh600301 ST南化   0.88 8.02 
sh600302 标准股份   10.0 6.6 
sh600303 曙光股份   0.55 5.47 
sh600305 恒顺醋业   -0.34 17.43 
sh600306 *ST商城  1.96 9.89 
sh600307 酒钢宏兴   3.63 4.28 
sh600308 华泰股份   2.37 4.75 
sh600309 万华化学   3.88 22.48 
sh600310 桂东电力   3.88 17.95 
sh600311 荣华实业   0.64 6.29 
sh600312 平高电气   1.75 16.26 
sh600313 农发种业   1.61 11.99 
sh600315 上海家化   -0.32 34.47 
sh600316 洪都航空   2.66 28.2 
sh600317 营口港    2.88 5.0 
sh600319 亚星化学   2.46 5.83 
sh600320 振华重工   9.94 7.19 
sh600321 国栋建设   5.03 3.76 
sh600322 天房发展   1.37 4.43 
sh600323 瀚蓝环境   2.3 15.15 
sh600325 华发股份   0.91 12.15 
sh600326 西藏天路   -0.32 9.41 
sh600327 大东方    -1.93 7.62 
sh600328 兰太实业   2.52 9.34 
sh600329 中新药业   0.91 15.58 
sh600330 天通股份   0.1 9.81 
sh600331 宏达股份   0.96 6.34 
sh600333 长春燃气   1.25 8.07 
sh600335 国机汽车   0.16 18.57 
sh600336 澳柯玛    1.07 5.67 
sh600337 美克家居   2.84 10.15 
sh600338 西藏珠峰   1.37 12.59 
sh600339 天利高新   1.0 6.06 
sh600340 华夏幸福   9.4 36.78 
sh600343 航天动力   1.23 18.99 
sh600345 长江通信   0.92 15.32 
sh600346 大橡塑    1.55 7.88 
sh600348 阳泉煤业   2.11 9.19 
sh600350 山东高速   3.68 4.79 
sh600351 亚宝药业   -0.67 8.87 
sh600352 浙江龙盛   0.6 20.01 
sh600353 旭光股份   0.33 9.06 
sh600354 敦煌种业   1.43 9.19 
sh600355 精伦电子   1.99 7.17 
sh600356 恒丰纸业   3.47 8.05 
sh600358 国旅联合   3.21 7.71 
sh600359 新农开发   0.17 11.62 
sh600360 华微电子   0.8 5.06 
sh600361 华联综超   0.96 6.28 
sh600362 江西铜业   2.17 17.46 
sh600363 联创光电   0.6 10.04 
sh600366 宁波韵升   1.7 16.14 
sh600367 红星发展   0.19 10.63 
sh600368 五洲交通   1.34 5.3 
sh600369 西南证券   3.92 19.86 
sh600370 三房巷    3.07 7.04 
sh600371 万向德农   0.49 12.3 
sh600372 中航电子   0.38 28.81 
sh600373 中文传媒   0.21 14.33 
sh600375 华菱星马   1.2 12.61 
sh600376 首开股份   3.7 7.56 
sh600377 宁沪高速   1.02 6.95 
sh600378 天科股份   1.78 14.26 
sh600380 健康元    0.14 7.41 
sh600381 *ST贤成  1.22 20.69 
sh600382 广东明珠   0.99 15.25 
sh600383 金地集团   3.4 9.73 
sh600385 ST金泰   2.13 11.96 
sh600386 北巴传媒   0.63 11.16 
sh600387 海越股份   0.23 13.23 
sh600388 龙净环保   3.39 37.54 
sh600389 江山股份   -1.2 28.77 
sh600390 金瑞科技   -0.7 11.4 
sh600391 成发科技   1.18 27.47 
sh600392 盛和资源   1.16 29.75 
sh600393 东华实业   1.58 7.07 
sh600395 盘江股份   2.34 11.8 
sh600396 金山股份   1.23 6.6 
sh600397 安源煤业   2.13 5.76 
sh600398 海澜之家   4.12 10.1 
sh600400 红豆股份   0.72 5.58 
sh600401 海润光伏   -1.35 7.3 
sh600403 大有能源   0.99 6.12 
sh600405 动力源    -0.39 10.13 
sh600406 国电南瑞   2.41 15.72 
sh600408 安泰集团   1.34 3.77 
sh600409 三友化工   0.63 6.42 
sh600410 华胜天成   3.79 23.83 
sh600415 小商品城   1.32 12.26 
sh600416 湘电股份   0.41 12.11 
sh600419 天润乳业   -1.62 21.91 
sh600420 现代制药   2.05 22.88 
sh600421 仰帆控股   1.15 7.02 
sh600425 青松建化   2.55 6.44 
sh600426 华鲁恒升   1.07 11.34 
sh600429 三元股份   2.02 8.59 
sh600432 吉恩镍业   1.21 14.27 
sh600433 冠豪高新   0.84 11.96 
sh600435 北方导航   1.22 24.81 
sh600436 片仔癀    -0.01 85.9 
sh600438 通威股份   1.09 9.27 
sh600439 瑞贝卡    1.01 5.0 
sh600444 国通管业   -0.75 14.48 
sh600446 金证股份   3.58 54.33 
sh600448 华纺股份   1.77 6.32 
sh600449 宁夏建材   4.94 12.11 
sh600452 涪陵电力   2.7 16.74 
sh600455 博通股份   1.79 20.5 
sh600456 宝钛股份   1.16 17.42 
sh600459 贵研铂业   0.88 18.34 
sh600460 士兰微    1.17 6.04 
sh600461 洪城水业   0.6 11.66 
sh600462 石岘纸业   3.95 6.06 
sh600463 空港股份   2.23 10.07 
sh600466 迪康药业   1.27 7.19 
sh600467 好当家    2.17 6.6 
sh600469 风神股份   1.45 12.6 
sh600470 六国化工   0.15 6.74 
sh600475 华光股份   0.41 14.55 
sh600476 湘邮科技   2.72 20.36 
sh600477 杭萧钢构   1.83 6.13 
sh600478 科力远    -0.55 19.94 
sh600479 千金药业   0.41 14.71 
sh600480 凌云股份   0.9 14.59 
sh600481 双良节能   1.72 10.63 
sh600482 风帆股份   2.21 13.42 
sh600483 福能股份   3.1 9.97 
sh600485 信威集团   -2.41 47.79 
sh600486 扬农化工   0.0 31.26 
sh600488 天药股份   3.08 6.03 
sh600489 中金黄金   1.48 10.29 
sh600493 凤竹纺织   1.79 7.98 
sh600495 晋西车轴   5.21 23.61 
sh600496 精工钢构   2.76 8.94 
sh600497 驰宏锌锗   1.5 11.52 
sh600498 烽火通信   2.58 15.49 
sh600499 科达洁能   0.96 18.91 
sh600500 中化国际   4.02 10.86 
sh600501 航天晨光   1.19 14.41 
sh600502 安徽水利   2.65 12.0 
sh600503 华丽家族   1.36 5.98 
sh600505 西昌电力   -0.18 10.87 
sh600506 香梨股份   0.43 11.69 
sh600507 方大特钢   3.14 5.26 
sh600508 上海能源   2.78 11.09 
sh600509 天富能源   0.57 10.58 
sh600510 黑牡丹    1.59 7.66 
sh600511 国药股份   4.39 30.88 
sh600512 腾达建设   5.16 4.28 
sh600513 联环药业   1.68 15.12 
sh600515 海岛建设   -0.25 8.06 
sh600516 方大炭素   0.0 10.19 
sh600517 置信电气   1.79 11.96 
sh600518 康美药业   -0.24 16.51 
sh600519 贵州茅台   1.51 185.83 
sh600520 中发科技   0.0 15.71 
sh600521 华海药业   0.49 14.28 
sh600522 中天科技   0.32 15.83 
sh600523 贵航股份   1.07 16.09 
sh600525 长园集团   5.55 13.32 
sh600526 菲达环保   1.04 15.53 
sh600527 江南高纤   0.59 5.13 
sh600528 中铁二局   10.03 15.58 
sh600529 山东药玻   0.32 12.36 
sh600530 交大昂立   3.23 12.48 
sh600531 豫光金铅   1.5 13.5 
sh600532 宏达矿业   0.43 9.4 
sh600533 栖霞建设   -0.22 4.59 
sh600535 天士力    -0.17 40.63 
sh600536 中国软件   8.91 32.87 
sh600537 亿晶光电   0.0 13.92 
sh600538 国发股份   -1.28 7.69 
sh600539 狮头股份   1.63 7.48 
sh600540 新赛股份   0.71 8.51 
sh600543 莫高股份   1.28 9.47 
sh600545 新疆城建   3.23 11.2 
sh600546 山煤国际   2.53 5.68 
sh600547 山东黄金   0.98 19.67 
sh600548 深高速    2.78 8.12 
sh600549 厦门钨业   0.87 32.5 
